total_population,california_county,approximate_location,ces_4_0_score,ces_4_0_percentile_range,ozone,pm2_5,diesel_pm,drinking_water,lead,pesticides,tox_release,traffic,cleanup_sites,groundwater_threats,haz_waste,imp_water_bodies,solid_waste,pollution_burden,pollution_burden_score,asthma,cardiovascular_disease,education,linguistic_isolation,poverty,unemployment,housing_burden,pop_char,pop_char_score,twocounty
4886,Santa Clara,Gilroy,41.57,75-80%,0.043,6.35758576,0.342,364.38,58.19,537.89,8.593436467,1747.125276,12.25,21.5,0.33,0,0,45.85,5.6,59.06,17.01,38.1,9.8,33.3,6.8,27.5,71.59,7.43,Other County
6567,Los Angeles,Burbank,41.55,75-80%,0.059,11.76906719,0.767,787.01,23.13,0,1280.352377,1498.622136,45.75,36.2,2.3,6,6.55,68.86,8.41,27.72,9.45,14.7,23.4,39.7,5.9,33,47.64,4.94,Los Angeles
4652,Stanislaus,Turlock,41.53,75-80%,0.056,12.94689731,0.117,862.44,59.59,141.99,133.2353338,325.8358265,12,37.25,0.225,0,0,53.56,6.54,77.81,24.42,22.8,8.5,33.1,4.6,19.8,61.21,6.35,Other County
10015,Kings,Unincorporated Kings County area,41.52,75-80%,0.051,9.402202486,0.016,451.8,75.41,12.87,2210.966675,376.1187825,0,8,0.1,0,11,44.1,5.38,45.07,19.88,59,30.3,67.6,12.4,21.6,74.33,7.71,Other County
3080,Los Angeles,Montebello,41.52,75-80%,0.052,12.00891284,0.073,625.24,52.67,2.07,2667.293335,1722.653217,20,24.05,0.47,11,10.7,69.44,8.48,53.02,16.41,11,10.4,17.1,5.9,17.8,47.2,4.9,Los Angeles
9138,Riverside,Moreno Valley,41.51,75-80%,0.07,11.63341776,0.192,237.48,26.71,0.25,994.7173666,1157.487053,0,13.75,0.345,0,0,42.13,5.14,73.01,23.46,25.2,9.8,39.8,8.2,24,77.8,8.07,Other County
3735,Los Angeles,Los Angeles,41.51,75-80%,0.062,11.63653858,0.076,726.64,64.17,0,899.156667,1048.798265,36.5,0,0.045,4,0,47.69,5.82,61.77,15.3,15.5,15.7,42.3,8.9,26.6,68.71,7.13,Los Angeles
6654,Orange,Fullerton,41.49,75-80%,0.048,12.18148916,0.273,685.45,80.93,0,3958.203369,540.4649528,70.65,53.75,3.695,0,4,64.94,7.93,43.59,11.15,20.7,4.3,40,7.3,18.2,50.44,5.23,Other County
2403,Riverside,Riverside,41.49,75-80%,0.066,12.24211569,0.091,693.08,62.88,52.73,1436.430013,271.8796248,16,2,0.31,1,6,58.71,7.17,43.84,11.27,26.3,12.3,52.4,7.9,16.8,55.8,5.79,Other County
1703,San Diego,San Diego,41.48,75-80%,0.043,10.196964,1.006,312.86,55.74,0,545.1383361,1047.224191,5.85,46.05,1.8,6,3.95,55.23,6.74,71.96,10.66,26,14,47.9,4.2,37.4,59.3,6.15,Other County
