total_population,california_county,approximate_location,ces_4_0_score,ces_4_0_percentile_range,ozone,pm2_5,diesel_pm,drinking_water,lead,pesticides,tox_release,traffic,cleanup_sites,groundwater_threats,haz_waste,imp_water_bodies,solid_waste,pollution_burden,pollution_burden_score,asthma,cardiovascular_disease,education,linguistic_isolation,poverty,unemployment,housing_burden,pop_char,pop_char_score,twocounty
6219,Los Angeles,Bell Gardens,71.9,95-100% (highest scores),0.047,12.02588499,0.318,518.16,91.7,31.25,4410.199951,1025.609038,14.2,11,1.375,7,0.5,69.16,8.44,54.25,23.93,51.4,29.5,61.5,11.5,28.9,82.07,8.51,Los Angeles
6558,Los Angeles,Los Angeles,71.85,95-100% (highest scores),0.064,12.29587676,0.457,726.64,70.56,0,685.6316884,2892.070994,59.3,31.3,2.36,2,0,68.45,8.36,77.98,19.65,28.9,22.8,48.6,4.6,35.4,82.87,8.6,Los Angeles
7273,Los Angeles,Long Beach,71.42,95-100% (highest scores),0.043,12.50092519,0.503,339.04,78.54,0.84,8781.373127,1663.949239,9,17.05,0.97,7,0.5,65.77,8.03,94.42,20.48,33.7,16.1,56.9,7.9,32.8,85.73,8.89,Los Angeles
4320,Los Angeles,Cudahy,71.4,95-100% (highest scores),0.046,12.06526369,0.238,709.97,81.37,0,5265.72998,677.1907416,88.2,33,2.27,7,10.7,69.88,8.53,43.15,18.75,48.4,22.6,47.1,10,24.9,80.67,8.37,Los Angeles
3099,Los Angeles,Los Angeles,71.29,95-100% (highest scores),0.039,11.73680492,1.465,391.08,81.37,0,9756.536946,632.7478884,46.95,62.1,3.305,16,21,69.1,8.44,76.33,21.61,50.6,24.6,58.9,4.9,30.6,81.46,8.45,Los Angeles
2458,Los Angeles,Los Angeles,71.24,95-100% (highest scores),0.045,12.14625901,0.203,787.94,90.52,0,4239.376709,1230.505058,68.15,28.25,0.445,0,2.7,65.01,7.94,113.45,27.79,50.1,7.8,61.2,6,41,86.52,8.97,Los Angeles
3400,Los Angeles,Long Beach,71.21,95-100% (highest scores),0.042,12.78098946,0.973,338.56,86.61,0,9572.14974,4072.827967,7.95,35.3,1.135,10,2.5,69.84,8.53,88.49,19.32,22.4,7,37.7,11.6,24.1,80.5,8.35,Los Angeles
4334,Los Angeles,Los Angeles,70.76,95-100% (highest scores),0.044,12.116733,0.467,787.94,86.09,0,5194.089925,3032.755893,6.7,3.6,0.225,0,3,60.35,7.37,113.88,27.88,44,10.9,68.1,11.4,42.3,92.57,9.6,Los Angeles
2109,Los Angeles,Willowbrook,70.56,95-100% (highest scores),0.044,12.0701055,1.093,669.99,75.13,0,8916.260049,2623.566956,54.5,20.8,1.555,0,1,66.59,8.13,122.71,25.25,54,16.3,55.9,7.7,22.7,83.67,8.68,Los Angeles
3132,Los Angeles,Los Angeles,70.53,95-100% (highest scores),0.038,11.70137136,1.097,391.08,76.76,0,5523.829834,856.100235,8,42.55,2.695,8,6.7,63.65,7.77,103.61,14.57,36.9,23.8,56,13.2,33.2,87.49,9.08,Los Angeles
3720,Los Angeles,Cudahy,70.45,95-100% (highest scores),0.046,12.03778507,0.727,673.92,81.66,0,5218.023356,661.0383819,56.35,18.05,3.925,7,1.95,67.4,8.23,46.98,20.41,53.2,13.1,57.9,8.7,32.1,82.53,8.56,Los Angeles
3872,Los Angeles,Los Angeles,70.33,95-100% (highest scores),0.065,11.81424877,0.169,726.64,75.93,0,694.0063477,1444.132983,41.6,2.5,2.62,0,3,61.58,7.52,93.94,20.82,41.1,34.5,62.7,13.6,33.9,90.17,9.35,Los Angeles
3039,Los Angeles,South El Monte,70.22,95-100% (highest scores),0.055,12.03688662,0.89,821.08,89.29,4.2,2955.513346,1963.851443,6.25,12.25,0.405,5,1.25,72.17,8.81,65.92,16.69,28,10.5,48.3,7.4,22.5,76.82,7.97,Los Angeles
3904,Los Angeles,Los Angeles,70.13,95-100% (highest scores),0.048,12.25398221,0.363,787.94,98.7,0,2808.570027,752.2054963,12.75,3.55,9.81,7,5.55,67.55,8.25,76.1,20.87,60.7,26.3,60.8,5,28.5,81.96,8.5,Los Angeles
